snapped_at,price,market_cap,total_volume
2013-11-18 00:00:00 UTC,719.2505,8637209536,0
2013-11-19 00:00:00 UTC,574.6381,6902825810,0
2013-11-20 00:00:00 UTC,613.8772,7376701414,0
2013-11-21 00:00:00 UTC,753.692,9059622789,0
2013-11-22 00:00:00 UTC,814.5922,9793719831,0
2013-11-23 00:00:00 UTC,847.2195,10189191219,0
2013-11-24 00:00:00 UTC,819.5855,9860084826,0
2013-11-25 00:00:00 UTC,849.2731,10221192845,0
2013-11-26 00:00:00 UTC,985.0574,11859721699,0
2013-11-27 00:00:00 UTC,1044.6476,12581317835,0
2013-11-28 00:00:00 UTC,1140.2738,13737876208,0
2013-11-29 00:00:00 UTC,1230.1915,14827836452,0
2013-11-30 00:00:00 UTC,1234.7649,14887560399,0
2013-12-01 00:00:00 UTC,1037.6674,12516318237,0
2013-12-02 00:00:00 UTC,1140.2851,13759278667,0
2013-12-03 00:00:00 UTC,1169.8265,14120946436,0
2013-12-04 00:00:00 UTC,1270.5162,15342181899,0
2013-12-05 00:00:00 UTC,1149.3159,13883506209,0
2013-12-06 00:00:00 UTC,916.3071,11073250596,0
2013-12-07 00:00:00 UTC,762.9923,9224519683,0
2013-12-08 00:00:00 UTC,872.1152,10547579258,0
2013-12-09 00:00:00 UTC,986.393,11934714145,0
2013-12-10 00:00:00 UTC,1082.5612,13103699661,0
2013-12-11 00:00:00 UTC,977.05,11830658778,0
2013-12-12 00:00:00 UTC,980.9474,11881897049,0
2013-12-13 00:00:00 UTC,1002.2347,12144052804,0
2013-12-14 00:00:00 UTC,968.0152,11733796247,0
2013-12-15 00:00:00 UTC,981.7963,11905679198,0
2013-12-16 00:00:00 UTC,796.8575,9666758018,0
2013-12-17 00:00:00 UTC,768.0633,9321197007,0
2013-12-18 00:00:00 UTC,590.1415,7165070240,0
2013-12-19 00:00:00 UTC,788.2277,9574345698,0
2013-12-20 00:00:00 UTC,698.0967,8483166383,0
2013-12-21 00:00:00 UTC,682.5187,8296663191,0
2013-12-22 00:00:00 UTC,692.5721,8421590164,0
2013-12-23 00:00:00 UTC,753.6597,9167573115,0
2013-12-24 00:00:00 UTC,748.2561,9105116940,0
2013-12-25 00:00:00 UTC,770.1333,9374563114,0
2013-12-26 00:00:00 UTC,860.465,10477731724,0
2013-12-27 00:00:00 UTC,841.9431,10256087776,72102765.5
2013-12-28 00:00:00 UTC,823.6446,10036521273,31350690.95
2013-12-29 00:00:00 UTC,841.1013,10252541214,31281577.01
2013-12-30 00:00:00 UTC,847.39,10329620546,27540397.84
2013-12-31 00:00:00 UTC,855.0585,10423098986,24801067.13
2014-01-01 00:00:00 UTC,866.5822,10563572025,26467475.15
2014-01-02 00:00:00 UTC,907.3657,11060719830,19776632.86
2014-01-03 00:00:00 UTC,927.8158,11310005016,60887947
2014-01-04 00:00:00 UTC,960.2248,11705068295,41099326.72
2014-01-05 00:00:00 UTC,1049.5406,12793821198,71248579.78
2014-01-06 00:00:00 UTC,1061.4048,12938444907,100412353.6
2014-01-07 00:00:00 UTC,908.6793,11112693499,88249196.52
2014-01-08 00:00:00 UTC,967.4137,11835726171,90080880.39
2014-01-09 00:00:00 UTC,967.6227,11843290609,66694059.97
2014-01-10 00:00:00 UTC,983.392,12040872911,33903957.06
2014-01-11 00:00:00 UTC,1034.8219,12676024994,55184141.19
2014-01-12 00:00:00 UTC,971.1677,11901198859,44974205.77
2014-01-13 00:00:00 UTC,947.4823,11615161829,48390932.42
2014-01-14 00:00:00 UTC,951.1477,11663805352,26636675.41
2014-01-15 00:00:00 UTC,981.8443,12044725858,32635790.66
2014-01-16 00:00:00 UTC,960.8334,11791587693,21464131.6
2014-01-17 00:00:00 UTC,943.1651,11578389084,45558273.85
2014-01-18 00:00:00 UTC,960.9479,11800968733,20652028.76
2014-01-19 00:00:00 UTC,1001.2294,12295822923,20993003.33
2014-01-20 00:00:00 UTC,987.6852,12133515145,28888613.11
2014-01-21 00:00:00 UTC,992.592,12198682717,30568345.25
2014-01-22 00:00:00 UTC,976.1771,12001511738,20177275.85
2014-01-23 00:00:00 UTC,974.7439,11988813860,21189749.53
